Country,Continent,Year,TotalPopulation,CO2_Emission,TotalEnergy_Consumption
Belgium,Europe,1990,9967379,106.51,48
Czech Republic,Europe,1990,10333355,147.4,50
France,Europe,1990,58235697,365.41,225
Germany,Europe,1990,79433029,952.76,351
Italy,Europe,1990,56719240,397.79,147
Netherlands,Europe,1990,14951510,163.32,67
Poland,Europe,1990,38110782,355.72,103
Portugal,Europe,1990,9983218,39.79,17
Romania,Europe,1990,23201835,162.99,62
Spain,Europe,1990,38867322,205.49,90
Sweden,Europe,1990,8558835,52.55,47
United Kingdom,Europe,1990,57247586,556.16,206
Norway,Europe,1990,4241473,27.88,21
Turkey,Asia,1990,53921760,132.53,51
Kazakhstan,Asia,1990,16348000,236.28,73
Russia,Asia,1990,147969407,2188.84,879
Ukraine,Europe,1990,51891400,690.16,252
Uzbekistan,Asia,1990,20510000,116.34,46
Canada,North America,1990,27691138,429.73,211
United States,North America,1990,249623000,4866.01,1910
Argentina,South America,1990,32618651,101.13,46
Brazil,South America,1990,149003223,193.76,141
Chile,South America,1990,13274623,30.95,14
Colombia,South America,1990,33102569,46.08,24
Mexico,North America,1990,83943132,264.11,124
Venezuela,South America,1990,19632665,93.58,40
China,Asia,1990,1135185000,2256.67,874
India,Asia,1990,873277798,522.75,306
Indonesia,Asia,1990,181413402,147.8,99
Japan,Asia,1990,123537000,1040.21,440
Malaysia,Asia,1990,18029824,50.74,21
South Korea,Asia,1990,20293054,243.5,94
Taiwan,Asia,1990,20478520,115.16,48
Thailand,Asia,1990,56558186,80.92,42
Australia,Oceania,1990,17065100,261.38,86
New Zealand,Oceania,1990,3329800,21.62,14
Algeria,Africa,1990,25758869,52.97,22
Egypt,Africa,1990,56134475,78.4,32
Nigeria,Africa,1990,95212450,28.32,66
South Africa,Africa,1990,36800507,251.94,90
Iran,Asia,1990,56366217,181.23,69
Kuwait,Asia,1990,2095344,28.07,9
Saudi Arabia,Asia,1990,16233785,155.69,58
United Arab Emirates,Asia,1990,1828432,52.15,20
Belgium,Europe,1991,10004486,111.21,50
Czech Republic,Europe,1991,10308578,135.91,45
France,Europe,1991,58559311,392.65,237
Germany,Europe,1991,80013896,936.15,344
Italy,Europe,1991,56758521,398.52,150
Netherlands,Europe,1991,15069798,170.36,69
Poland,Europe,1991,38246193,353.98,101
Portugal,Europe,1991,9960235,41.29,17
Romania,Europe,1991,23001155,135.51,51
Spain,Europe,1991,38966376,214.24,93
Sweden,Europe,1991,8617375,52.78,49
United Kingdom,Europe,1991,57424897,564.06,213
Norway,Europe,1991,4261732,26.38,22
Turkey,Asia,1991,54840590,134.16,51
Kazakhstan,Asia,1991,16451711,243.08,75
Russia,Asia,1991,148394216,2189.61,871
Ukraine,Europe,1991,52000500,654.79,252
Uzbekistan,Asia,1991,20952000,120.21,48
Canada,North America,1991,28037420,422.77,210
United States,North America,1991,252981000,4813.23,1925
Argentina,South America,1991,33079000,105.64,47
Brazil,South America,1991,151648011,198.99,143
Chile,South America,1991,13495258,29.47,14
Colombia,South America,1991,33758328,47.74,24
Mexico,North America,1991,85512623,283.46,130
Venezuela,South America,1991,20096317,93.07,41
China,Asia,1991,1150780000,2371.67,848
India,Asia,1991,891273209,561.95,318
Indonesia,Asia,1991,184591903,160.41,103
Japan,Asia,1991,123921000,1047,445
Malaysia,Asia,1991,18519937,61.25,26
South Korea,Asia,1991,20609150,267.57,101
Taiwan,Asia,1991,20679065,124.3,52
Thailand,Asia,1991,57232465,90.07,46
Australia,Oceania,1991,17284000,262.71,85
New Zealand,Oceania,1991,3495100,22.17,14
Algeria,Africa,1991,26400479,57.14,23
Egypt,Africa,1991,57424549,77.43,32
Nigeria,Africa,1991,97667632,33.59,70
South Africa,Africa,1991,37718952,247.85,92
Iran,Asia,1991,57679034,200.8,77
Kuwait,Asia,1991,2031296,7.82,3
Saudi Arabia,Asia,1991,16772694,162.06,68
United Arab Emirates,Asia,1991,1937153,59.46,23
Belgium,Europe,1992,10045158,109.91,51
Czech Republic,Europe,1992,10319123,129.99,44
France,Europe,1992,58851217,381.53,234
Germany,Europe,1992,80624598,895.78,338
Italy,Europe,1992,56797087,397.92,149
Netherlands,Europe,1992,15184166,168.57,69
Poland,Europe,1992,38363667,345.34,99
Portugal,Europe,1992,9952494,45.15,18
Romania,Europe,1992,22794284,127.1,46
Spain,Europe,1992,39157685,224.57,95
Sweden,Europe,1992,8668067,53.29,47
United Kingdom,Europe,1992,57580402,557.58,213
Norway,Europe,1992,4286401,29.27,22
Turkey,Asia,1992,55748948,140.1,53
Kazakhstan,Asia,1992,16439095,249.14,79
Russia,Asia,1992,148538197,2016.97,795
Ukraine,Europe,1992,52150400,564.58,220
Uzbekistan,Asia,1992,21449000,112.1,45
Canada,North America,1992,28371264,435.47,216
United States,North America,1992,256514000,4891.13,1964
Argentina,South America,1992,33529326,108.95,50
Brazil,South America,1992,154259380,203.69,145
Chile,South America,1992,13719819,30.61,15
Colombia,South America,1992,34422568,49.56,25
Mexico,North America,1992,87075138,285.67,131
Venezuela,South America,1992,20557683,95.04,46
China,Asia,1992,1164970000,2463.93,877
India,Asia,1992,909307016,593.33,330
Indonesia,Asia,1992,187739786,168.31,108
Japan,Asia,1992,124229000,1058.22,455
Malaysia,Asia,1992,19002656,64.39,29
South Korea,Asia,1992,20937404,290.86,111
Taiwan,Asia,1992,20868148,132.49,54
Thailand,Asia,1992,57811021,98.35,49
Australia,Oceania,1992,17495000,266.7,87
New Zealand,Oceania,1992,3531700,23.71,14
Algeria,Africa,1992,27028326,57.25,24
Egypt,Africa,1992,58666814,80.35,33
Nigeria,Africa,1992,100161710,40.14,72
South Africa,Africa,1992,38672611,244.93,88
Iran,Asia,1992,58780370,218.17,81
Kuwait,Asia,1992,NA,22.5,9
Saudi Arabia,Asia,1992,17282691,176.78,77
United Arab Emirates,Asia,1992,2052891,56.91,22
Belgium,Europe,1993,10084475,108.33,49
Czech Republic,Europe,1993,10329855,130.39,43
France,Europe,1993,59106768,362.7,238
Germany,Europe,1993,81156363,883.96,335
Italy,Europe,1993,56831821,392.45,149
Netherlands,Europe,1993,15290368,173.51,70
Poland,Europe,1993,38461408,345.3,101
Portugal,Europe,1993,9964675,43.86,18
Romania,Europe,1993,22763280,118.48,46
Spain,Europe,1993,39361262,210.73,91
Sweden,Europe,1993,8718561,52.52,46
United Kingdom,Europe,1993,57718614,541.35,215
Norway,Europe,1993,4311991,31.19,24
Turkey,Asia,1993,56653804,145.61,56
Kazakhstan,Asia,1993,16380672,212.45,66
Russia,Asia,1993,148458777,1848.61,751
Ukraine,Europe,1993,52179200,502.57,195
Uzbekistan,Asia,1993,21942000,112.78,47
Canada,North America,1993,28684764,435.14,223
United States,North America,1993,259919000,5014.93,1998
Argentina,South America,1993,33970111,108.25,50
Brazil,South America,1993,156849078,211.1,148
Chile,South America,1993,13944937,32.4,16
Colombia,South America,1993,35091272,52.56,26
Mexico,North America,1993,88625440,291.58,133
Venezuela,South America,1993,21016901,100.6,43
China,Asia,1993,1178440000,2633.38,929
India,Asia,1993,927403860,624.4,338
Indonesia,Asia,1993,190851175,182.99,118
Japan,Asia,1993,124536000,1050.27,458
Malaysia,Asia,1993,19484898,70.17,32
South Korea,Asia,1993,21265834,317.4,125
Taiwan,Asia,1993,21044700,142.03,58
Thailand,Asia,1993,58337773,111.14,51
Australia,Oceania,1993,17667000,270.7,91
